ott,lbs
160,120.10457418612323
165,120.10457418612323
170,123.45924555514554
175,137.45639802191687
180,141.98262347343825
185,154.5539129444609
190,171.6346017876954
195,181.13212803231735
200,189.1368245466255
202,189.1368245466255
204,199.75174652388023
206,199.75174652388023
208,210.1150122205603
210,217.26859705931344
212,238.5407634486052
214,251.76352300426697
216,251.76352300426697
218,251.08762027416557
220,259.5887582893773
222,262.04591905593816
224,262.04591905593816
226,262.9037979019801
228,279.30609471408974
230,279.30609471408974
232,282.85417205245994
234,301.00779812902533
236,307.2594645243617
238,307.2594645243617
240,309.48376757791965
242,327.5988733632401
244,333.24016990905335
246,344.7537164163122
248,360.82619630954554
250,369.03588395100167
252,373.37472986234366
254,386.73743133667415
256,390.8820717693084
258,428.3103915444133
260,432.7925759343348
262,437.47404316719144
264,448.6469732356138
266,459.94004314534465
268,464.5403859936397
270,482.3467823531716
272,491.02780087662995
274,495.19817074841865
276,514.2933042265976
278,514.2933042265976
280,516.5581823968269
282,527.6644048880165
284,527.6644048880165
286,559.7416465255186
288,559.7416465255186
290,567.2281587201577
292,598.8179955019096
294,598.8179955019096
296,616.9627374334829
297,623.734967162659
298,627.3895416287404
299,627.3895416287404
300,627.3895416287404
301,649.2778776845518
302,649.2778776845518
303,650.4760125564446
304,650.4760125564446
305,672.5930804219415
306,672.5930804219415
307,672.5930804219415
308,672.5930804219415
309,672.5930804219415
310,687.6828286950195
311,702.1056377436412
312,703.1799075750969
313,703.1799075750969
314,720.899850323998
315,720.899850323998
316,720.899850323998
317,746.9860839720807
318,746.9860839720807
319,747.7534246634666
320,762.1005565098064
321,762.1005565098064
322,762.1005565098064
323,763.610722360788
324,791.9118571027482
325,791.9118571027482
326,791.9118571027482
327,791.9118571027482
328,791.9118571027482
329,826.4866023217685
330,826.4866023217685
331,826.4866023217685
332,840.6640576076203
333,843.7931281497611
334,843.7931281497611
335,878.0098621122671
336,878.0098621122671
337,878.0098621122671
338,886.3463865060454
339,887.1722056833091
340,887.1722056833091
341,919.1859071648653
342,919.1859071648653
343,934.8433146486759
344,955.815073038066
345,955.815073038066
346,955.815073038066
347,970.6019235550212
348,970.6019235550212
349,970.6019235550212
350,980.8469459500076
351,999.5815546582996
352,999.5815546582996
353,1008.5554451537254
354,1029.1846081610402
355,1029.1846081610402
356,1029.1846081610402
357,1039.354958807055
358,1039.354958807055
359,1061.703310335884
360,1064.6788007608284
361,1064.6788007608284
362,1095.63519649082
363,1095.63519649082
364,1102.4281784965451
365,1128.0127623370045
366,1128.0127623370045
367,1128.0127623370045
368,1128.0127623370045
369,1141.4269446890348
370,1141.4269446890348
371,1146.6849446131869
372,1181.6041185533925
373,1181.6041185533925
374,1182.325043104679
375,1201.213189975774
376,1202.6895629881703
377,1206.4916837526787
378,1206.4916837526787
379,1206.4916837526787
380,1241.2575167329849
381,1241.2575167329849
382,1241.2575167329849
383,1237.2346289811264
384,1268.2642477431648
385,1268.2642477431648
386,1278.6959421070162
387,1309.1155830303212
388,1309.1155830303212
389,1329.8052019667869
390,1329.8052019667869
391,1329.8052019667869
392,1346.6735467505346
393,1355.0390079454532
394,1367.4305514785156
395,1367.4305514785156
396,1367.6929450111643
397,1396.7000430874587
398,1396.7000430874587
399,1417.3719031761595
400,1417.3719031761595
401,1418.9354073480235
402,1426.2157640666471
403,1426.2157640666471
404,1452.8412108655325
405,1454.9146709009406
406,1454.9146709009406
407,1487.302557095335
408,1492.2037462380845
409,1492.2037462380845
410,1492.2037462380845
411,1535.658952523473
412,1550.5366009101272
413,1551.5134203610403
414,1551.5134203610403
415,1551.5134203610403
416,1577.7706060834528
417,1577.7706060834528
418,1625.2861293863004
419,1626.1037448858274
420,1626.1037448858274
421,1633.2492032819764
422,1626.9253000619165
423,1637.6060131955428
424,1637.6060131955428
425,1658.5067685344752
426,1676.7646677396053
427,1678.1359160111354
428,1675.4630375580577
429,1720.585183560298
430,1716.2082640550161
431,1736.7757901188497
432,1742.3055925435817
433,1739.8382892654774
434,1793.6790471305737
435,1790.9577551946381
436,1790.9577551946381
437,1790.9577551946381
438,1838.7593247025854
439,1838.5410594688929
440,1836.8299254660856
441,1836.8299254660856
442,1836.8299254660856
443,1836.8299254660856
444,1852.6893051339262
445,1895.0019797539967
446,1895.0019797539967
447,1897.7533358802527
448,1901.9198925693413
449,1907.5758109519563
450,1939.1598957425633
451,1986.8645054330377
452,1986.8645054330377
453,1986.8645054330377
454,1989.088542578099
455,1989.088542578099
456,2022.3062750211197
457,2022.3062750211197
458,2020.4301380152685
459,2042.961447059495
460,2042.961447059495
461,2050.8601058375243
462,2050.8601058375243
463,2118.6932498823194
464,2110.658490457064
465,2149.0060921121462
466,2158.3102772101624
467,2196.8930328821193
468,2177.689261085689
469,2173.467736758186
470,2169.4488218336537
471,2150.7593331768767
472,2150.7593331768767
473,2153.8271014188167
474,2153.8271014188167
475,2153.8271014188167
476,2160.479466431064
477,2155.9385419843347
478,2181.921849880493
479,2180.9968150220907
480,2180.9968150220907
481,2209.687808497774
482,2250.9645028182617
483,2283.4310262640065
484,2283.4310262640065
485,2328.113704710195
486,2371.135401976446
487,2371.135401976446
488,2371.135401976446
489,2420.2315791416167
490,2485.731825473831
491,2485.731825473831
492,2485.731825473831
493,2485.731825473831
494,2485.731825473831
495,2485.731825473831
496,2485.731825473831
497,2485.731825473831
498,2485.731825473831
499,2485.731825473831
500,2485.731825473831
501,2485.731825473831
502,2485.731825473831
503,2485.731825473831
504,2485.731825473831
505,2485.731825473831
506,2485.731825473831
507,2485.731825473831
508,2485.731825473831
509,2485.731825473831
510,2485.731825473831
511,2485.731825473831
512,2485.731825473831
513,2485.731825473831
514,2485.731825473831
515,2485.731825473831
516,2485.731825473831
517,2485.731825473831
518,2485.731825473831
519,2485.731825473831
520,2485.731825473831
521,2485.731825473831
522,2485.731825473831
523,2485.731825473831
524,2485.731825473831
525,2485.731825473831
526,2485.731825473831
527,2485.731825473831
528,2485.731825473831
529,2485.731825473831
530,2485.731825473831
531,2485.731825473831
532,2485.731825473831
533,2485.731825473831
534,2485.731825473831
535,2485.731825473831
536,2485.731825473831
537,2485.731825473831
538,2485.731825473831
539,2485.731825473831
